insert      10c|       1r|       1b|      0.0361024s|
insert      10c|       1r|       1b|      0.0121222s|
select      20c|      10r|       1b|      0.0666521s|
insert      50c|   10000r|      10b|        0.29521s|
insert      50c|   10000r|     100b|         3.3057s|
insert      50c|   10000r|     100b|        3.56379s|


from begin
insert      50c|    1000r|      10b|        0.31972s|
insert       5c|   10000r|      10b|       0.347434s|
insert      50c|     100r|     100b|        1.56359s|
insert       5c|    1000r|     100b|        2.06338s|

from end
insert       5c|   10000r|      10b|       0.429989s|
insert      50c|    1000r|      10b|        0.28081s|
insert      50c|     100r|     100b|        2.28836s|
insert       5c|    1000r|     100b|        2.78401s|

from begin
select       5c|   10000r|      10b|       0.167635s|
select      50c|    1000r|      10b|       0.160252s|
select       5c|    1000r|     100b|       0.317877s|
select      50c|     100r|     100b|       0.614464s|

from end
select       5c|   10000r|      10b|      0.0601784s|
select      50c|    1000r|      10b|       0.101545s|
select       5c|    1000r|     100b|       0.302582s|
select      50c|     100r|     100b|       0.551842s|
select      25c|     500r|     100b|       0.531801s|
select      25c|     200r|     100b|       0.368333s|
select      49c|     100r|     100b|       0.506196s|


insert     100c|    1000r|      10b|       0.165355s|
insert     100c|    1000r|      10b|       0.157467s|
insert     100c|    1000r|      10b|       0.152424s|
insert     100c|   10000r|      10b|       0.332023s|
insert     100c|   10000r|     100b|        2.83291s|


insert      50c|    1000r|      10b|       0.107149s|
insert       5c|   10000r|      10b|       0.262832s|
insert      50c|     100r|     100b|       0.993559s|
insert       5c|    1000r|     100b|        1.11394s|
select      50c|    1000r|      10b|        0.34592s|
select       5c|   10000r|      10b|       0.122196s|
select      50c|     100r|     100b|        1.65194s|
select       5c|    1000r|     100b|       0.655753s|


insert       5c|       1r|       1b|      0.0196925s|
insert      50c|    1000r|      10b|       0.113781s|
insert       5c|   10000r|      10b|       0.188013s|
insert      50c|     100r|     100b|        1.12492s|
insert       5c|    1000r|     100b|        1.18425s|
select      50c|    1000r|      10b|       0.203953s|
select       5c|   10000r|      10b|      0.0759637s|
select      50c|     100r|     100b|        2.38684s|
select       5c|    1000r|     100b|       0.609972s|
addcolumns  50c|        -|        -|       0.393193s|
insert      50c|    1000r|      10b|       0.172527s|
insert       5c|   10000r|      10b|       0.366715s|
insert      50c|     100r|     100b|        1.44622s|
insert       5c|    1000r|     100b|         1.6392s|
select      50c|    1000r|      10b|       0.304327s|
select       5c|   10000r|      10b|       0.114088s|
select      50c|     100r|     100b|        2.26538s|
select       5c|    1000r|     100b|       0.853547s|
delete      50c|      -|      -|        1.32525s|
insert      50c|   10000r|      10b|       0.250292s|
insert      50c|   10000r|      10b|       0.235186s|
insert      50c|   10000r|      10b|       0.236768s|
insert      50c|   10000r|     100b|        2.04638s|
insert      50c|   10000r|     100b|        2.14264s|
insert      50c|   10000r|    1000b|         24.725s|
insert      50c|   10000r|     100b|        2.21247s|
insert      50c|   10000r|     100b|        2.32009s|
insert      50c|   10000r|     200b|        4.79155s|
insert       5c|       1r|       1b|      0.0180762s|
insert      50c|    1000r|      10b|       0.132383s|
insert       5c|   10000r|      10b|       0.187076s|
insert      50c|     100r|     100b|        1.20479s|
insert       5c|    1000r|     100b|        1.35131s|
select      50c|    1000r|      10b|       0.411387s|
select       5c|   10000r|      10b|       0.152074s|
select      50c|     100r|     100b|        2.91576s|
select       5c|    1000r|     100b|       0.929325s|
add      50c|      -|      -|       0.449736s|
insert      50c|    1000r|      10b|       0.237008s|
insert       5c|   10000r|      10b|       0.356357s|
insert      50c|     100r|     100b|        1.78935s|
insert       5c|    1000r|     100b|        1.97153s|
select      50c|    1000r|      10b|       0.185167s|
select       5c|   10000r|      10b|        0.12044s|
select      50c|     100r|     100b|        1.12537s|
select       5c|    1000r|     100b|        0.57478s|
delete      50c|      -|      -|        8.54147s|
insert      50c|   10000r|    1000b|        21.2228s|
insert      50c|   10000r|      10b|       0.299196s|
insert      50c|   10000r|      10b|       0.494079s|
insert      50c|   10000r|     100b|        5.45775s|
insert      50c|   10000r|    1000b|        42.6716s|
insert      50c|   10000r|    1000b|        37.6661s|
insert      50c|   10000r|    1000b|        38.7336s|
insert      50c|   10000r|    1000b|        42.2585s|
insert      50c|   10000r|    1000b|         45.353s|
insert      50c|   10000r|    1000b|        45.2526s|
insert      50c|   10000r|     500b|        18.9866s|
insert      50c|   10000r|     500b|        19.0124s|
insert      50c|   10000r|     100b|        3.33371s|
insert      50c|   10000r|     100b|        3.45256s|
insert       5c|       1r|       1b|     0.00922806s|
insert      50c|    1000r|      10b|        0.15995s|
insert       5c|   10000r|      10b|       0.232782s|
insert      50c|     100r|     100b|         1.5923s|
insert       5c|    1000r|     100b|        1.64583s|
select      50c|    1000r|      10b|       0.785097s|
select       5c|   10000r|      10b|       0.195728s|
select      50c|     100r|     100b|        5.31792s|
select       5c|    1000r|     100b|        1.68177s|
add      50c|      -|      -|       0.521879s|
insert      50c|    1000r|      10b|       0.259254s|
insert       5c|   10000r|      10b|       0.517998s|
insert      50c|     100r|     100b|        2.51303s|
insert       5c|    1000r|     100b|        2.29511s|
select      50c|    1000r|      10b|       0.185782s|
select       5c|   10000r|      10b|      0.0841543s|
select      50c|     100r|     100b|        1.63117s|
select       5c|    1000r|     100b|       0.728258s|
delete      50c|      -|      -|        14.6824s|
